"ecoevo_names","carnegie_names","checked","State_abbreviation","include_gsheetdb"
"University of Wisconsin","University of Wisconsin-Madison","Y","WI","Y"
"University of Wisconsin (multi-university / US Forest Service collaboration)","University of Wisconsin-Madison","Y","WI","Y"
"University of Wisconsin (Trout Lake Station)","University of Wisconsin-Madison","Y","WI","Y"
"University of Wisconsin-Madison Center for Limnology","University of Wisconsin-Madison","Y","WI","Y"
"University of Wyoming - Casper (Branch Campus)",NA,"Y",NA,"N"
"UPenn","University of Pennsylvania","Y","PA","Y"
"US Airforce Academy",NA,"Y",NA,"N"
"US Environmental Protection Agency",NA,"Y",NA,"N"
"US EPA",NA,"Y",NA,"N"
"US Fish & Wildlife Service",NA,"Y",NA,"N"
"US Forest Service",NA,"Y",NA,"N"
"US National Park Service",NA,"Y",NA,"N"
"USC","University of Southern California","Y","CA","Y"
"USDA",NA,"Y",NA,"N"
"USDA Agricultual Research Service",NA,"Y",NA,"N"
"USDA Agricultural Research Service",NA,"Y",NA,"N"
"USDA Agricultural Research Service Northern Great Plains Research Laboratory",NA,"Y",NA,"N"
"USDA ARS",NA,"Y",NA,"N"
"USDA ARS Biological Control of Insects Research Laboratory",NA,"Y",NA,"N"
"USDA ARS Hilo, HI",NA,"Y",NA,"N"
"USDA Forest Service",NA,"Y",NA,"N"
"USDA Forest Service Rocky Mountain Research Station",NA,"Y",NA,"N"
"USDA Northeast Climate Hub",NA,"Y",NA,"N"
"USDA Northeast Climate Hub/ ORISE fellowship",NA,"Y",NA,"N"
"USDA-Agricultural Research Service",NA,"Y",NA,"N"
"USDA-ARS",NA,"Y",NA,"N"
"USDA-ARS - MaizeGDB",NA,"Y",NA,"N"
"USDA-ARS Jornada Experimental Range",NA,"Y",NA,"N"
"USDA-ARS Plant Genetics Research Unit",NA,"Y",NA,"N"
"USDA-ARS Sunflower and Plant Biology Research Unit",NA,"Y",NA,"N"
"USDA-ARS Tropical Pest Genetics and Molecular Biology",NA,"Y",NA,"N"
"USDA-ARS/Oak Ridge",NA,"Y",NA,"N"
"USDA-ARS/University of Delaware",NA,"Y",NA,"N"
"USEPA Center for Computational Toxicology and Exposure (CCTE)",NA,"Y",NA,"N"
"USFS Rocky Mountain Research Station",NA,"Y",NA,"N"
"USFWS",NA,"Y",NA,"N"
"USFWS - Fish and Aquatic Conservation",NA,"Y",NA,"N"
"USGS",NA,"Y",NA,"N"
"USGS - Northern Rocky Mountain Science Center",NA,"Y",NA,"N"
"USGS / Colorado State University",NA,"Y",NA,"N"
"USGS / Cornell University","Cornell University","Y","NY","Y"
"USGS / Michigan State University","Michigan State University","Y","MI","Y"
"USGS / University of Alaska - Fairbanks",NA,"Y",NA,"N"
"USGS / University of Nebraska-Lincoln",NA,"Y",NA,"N"
"USGS / University of Wisconsin-Madison",NA,"Y",NA,"N"
"USGS Eastern Ecological Science Center",NA,"Y",NA,"N"
"Utah State University (Logan)","Utah State University","Y","UT","Y"
"Utah State University, Moab ",NA,"Y",NA,"N"
"Vantuna Research Group, Occidental College","Occidental College","Y","CA","N"
"Vermont Center for Ecostudies",NA,"Y",NA,"N"
"Vesta, PBC",NA,"Y",NA,"N"
"Virginia Institute of Marine Science (William and Mary)","William & Mary","Y",NA,"Y"
"Virginia Museum of Natural History",NA,"Y",NA,"N"
"Virginia Tech","Virginia Polytechnic Institute and State University","Y","VA","Y"
"Virginia Tech University","Virginia Polytechnic Institute and State University","Y","VA","Y"
"WA State Fish & Wildlife",NA,"Y",NA,"N"
"Washington & Lee University","Washington and Lee University","Y","VA","Y"
"Washington Department of Fish & Wildlife",NA,"Y",NA,"N"
"Washington Department of Natural Resources",NA,"Y",NA,"N"
"Washington State University - Vancouver","Washington State University","Y","WA","Y"
"Washington University / Missouri Botanical Garden","Washington University in St Louis","Y","MO","Y"
"West Chester University","West Chester University of Pennsylvania","Y","PA","Y"
"West Texas A&M",NA,"Y",NA,"N"
"West Texas A&M University",NA,"Y",NA,"N"
"Western Colorado University",NA,"Y",NA,"N"
"Wheaton College (MA)","Wheaton College","Y","MA","Y"
"William & Mary / VIMS Eastern Shore Laboratory","William & Mary","Y",NA,"N"
"William and Mary","William & Mary","Y","VA","Y"
"Wittenberg College",NA,"Y",NA,"N"
"Woods Hole Oceanographic Insitution",NA,"Y",NA,"N"
"Woods Hole Oceanographic Institution",NA,"Y",NA,"N"
"Yale School of the Environment","Yale University","Y","CT","Y"
"Yale University School of the Environment","Yale University","Y","CT","Y"
